time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",2,12,0,0.48,36
1,"(1, 0)",3,32,0,0.8,77
2,"(1, 0)",1,58,0,1.04,116
3,"(1, 0)",2,91,0,1.32,158
4,"(1, 0)",3,127,0,1.44,204
5,"(2, 0)",0,214,0,3.48,204
6,"(2, 0)",4,344,0,5.2,204
7,"(2, 0)",6,510,0,6.64,204
8,"(2, 0)",7,715,0,8.2,204
9,"(2, 0)",8,971,0,10.24,204
10,"(3, 0)",10,1240,0,10.76,254
11,"(3, 0)",9,1512,0,10.88,304
12,"(3, 0)",9,1788,0,11.04,354
13,"(3, 0)",8,2053,0,10.6,404
14,"(3, 0)",10,2315,0,10.48,454
15,"(4, 0)",9,2616,0,12.04,454
16,"(4, 0)",14,2965,0,13.96,454
17,"(4, 0)",15,3371,0,16.24,454
18,"(4, 0)",16,3823,0,18.08,454
19,"(4, 0)",18,4334,0,20.44,454
20,"(4, 1)",20,4849,1,20.6,504
21,"(4, 1)",24,5371,3,20.88,554
22,"(4, 1)",23,5884,4,20.52,604
23,"(4, 1)",23,6396,4,20.48,654
24,"(4, 1)",21,6907,5,20.44,704
25,"(4, 2)",20,7469,5,22.48,704
26,"(4, 2)",24,8064,8,23.8,704
27,"(4, 2)",26,8695,14,25.24,704
28,"(4, 2)",29,9345,26,26.0,704
29,"(4, 2)",29,10012,34,26.68,704
30,"(4, 3)",28,10653,46,25.64,754
31,"(4, 3)",27,11280,46,25.08,804
32,"(4, 3)",26,11904,48,24.96,854
33,"(4, 3)",27,12520,50,24.64,904
34,"(4, 3)",27,13136,54,24.64,954
