time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",1,9,0,0.4090909090909091,35
1,"(1, 0)",0,28,0,0.8636363636363636,72
2,"(1, 0)",0,47,0,0.8636363636363636,106
3,"(1, 0)",0,74,0,1.2272727272727273,148
4,"(1, 0)",0,101,0,1.2272727272727273,182
5,"(2, 0)",1,164,0,2.8636363636363638,184
6,"(2, 0)",0,278,0,5.181818181818182,186
7,"(2, 0)",0,436,0,7.181818181818182,186
8,"(2, 0)",0,630,0,8.818181818181818,186
9,"(2, 0)",0,867,0,10.772727272727273,186
10,"(3, 0)",0,1101,0,10.173913043478262,231
11,"(3, 0)",0,1337,0,10.26086956521739,275
12,"(3, 0)",0,1580,0,10.565217391304348,319
13,"(3, 0)",0,1824,0,10.608695652173912,363
14,"(3, 0)",0,2068,0,10.608695652173912,407
15,"(4, 0)",13,2347,0,12.130434782608695,407
16,"(4, 0)",13,2671,0,14.08695652173913,412
17,"(4, 0)",12,3025,0,15.391304347826088,417
18,"(4, 0)",8,3427,0,17.47826086956522,422
19,"(4, 0)",4,3858,1,18.73913043478261,427
20,"(4, 1)",16,4275,5,18.130434782608695,473
21,"(4, 1)",12,4683,7,17.73913043478261,520
22,"(4, 1)",12,5085,9,17.47826086956522,567
23,"(4, 1)",10,5478,9,17.08695652173913,614
24,"(4, 1)",8,5862,9,16.695652173913043,661
25,"(4, 2)",16,6294,11,18.782608695652176,666
26,"(4, 2)",14,6757,13,20.130434782608695,671
27,"(4, 2)",11,7247,18,21.304347826086957,676
28,"(4, 2)",8,7777,24,23.043478260869566,681
29,"(4, 2)",5,8321,31,23.652173913043477,686
30,"(4, 3)",20,8848,39,22.91304347826087,733
31,"(4, 3)",19,9360,42,22.26086956521739,780
32,"(4, 3)",15,9868,42,22.08695652173913,827
33,"(4, 3)",12,10362,42,21.47826086956522,874
34,"(4, 3)",10,10844,43,20.956521739130434,921
