time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,12,0,0.48,38
1,"(1, 0)",0,42,0,1.2,75
2,"(1, 0)",0,85,0,1.72,120
3,"(1, 0)",0,129,0,1.76,168
4,"(1, 0)",2,189,0,2.4,216
5,"(2, 0)",6,295,0,4.24,219
6,"(2, 0)",1,453,0,6.32,224
7,"(2, 0)",0,644,0,7.64,225
8,"(2, 0)",0,883,0,9.56,226
9,"(2, 0)",0,1161,0,11.12,229
10,"(3, 0)",10,1430,0,10.76,278
11,"(3, 0)",7,1715,0,11.4,331
12,"(3, 0)",3,1994,0,11.16,384
13,"(3, 0)",0,2275,0,11.24,435
14,"(3, 0)",0,2574,0,11.96,485
15,"(4, 0)",18,2916,0,13.68,486
16,"(4, 0)",14,3289,0,14.92,491
17,"(4, 0)",9,3698,0,16.36,496
18,"(4, 0)",9,4152,0,18.16,501
19,"(4, 0)",6,4651,1,19.96,506
20,"(4, 1)",23,5139,3,19.52,559
21,"(4, 1)",18,5617,6,19.12,612
22,"(4, 1)",17,6098,8,19.24,665
23,"(4, 1)",14,6571,9,18.92,718
24,"(4, 1)",11,7045,10,18.96,771
25,"(4, 2)",23,7548,10,20.12,776
26,"(4, 2)",20,8096,16,21.92,781
27,"(4, 2)",17,8673,24,23.08,786
28,"(4, 2)",13,9280,34,24.28,791
29,"(4, 2)",11,9909,46,25.16,796
30,"(4, 3)",28,10508,59,23.96,849
31,"(4, 3)",25,11099,62,23.64,902
32,"(4, 3)",21,11689,68,23.6,955
33,"(4, 3)",17,12260,70,22.84,1008
34,"(4, 3)",14,12821,71,22.44,1061
