time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",2,55,0,2.2,50
1,"(1, 0)",1,162,0,4.28,103
2,"(1, 0)",2,325,0,6.52,156
3,"(1, 0)",3,543,0,8.72,209
4,"(1, 0)",6,793,0,10.0,262
5,"(2, 0)",17,1127,1,13.36,267
6,"(2, 0)",14,1554,2,17.08,272
7,"(2, 0)",15,2076,4,20.88,277
8,"(2, 0)",11,2696,9,24.8,282
9,"(2, 0)",8,3370,18,26.96,287
10,"(3, 0)",28,4027,35,26.28,340
11,"(3, 0)",25,4690,50,26.52,393
12,"(3, 0)",23,5355,63,26.6,446
13,"(3, 0)",22,6034,80,27.16,499
14,"(3, 0)",23,6718,95,27.36,552
15,"(4, 0)",30,7450,113,29.28,557
16,"(4, 0)",25,8188,136,29.52,562
17,"(4, 0)",22,8927,158,29.56,567
18,"(4, 0)",25,9672,180,29.8,572
19,"(4, 0)",25,10417,204,29.8,577
20,"(4, 1)",28,11112,228,27.8,630
21,"(4, 1)",25,11805,246,27.72,683
22,"(4, 1)",25,12498,264,27.72,736
23,"(4, 1)",25,13192,282,27.76,789
24,"(4, 1)",25,13885,300,27.72,842
25,"(4, 2)",30,14624,317,29.56,847
26,"(4, 2)",25,15365,339,29.64,852
27,"(4, 2)",25,16110,363,29.8,857
28,"(4, 2)",24,16854,387,29.76,862
29,"(4, 2)",23,17597,411,29.72,867
30,"(4, 3)",28,18291,435,27.76,920
31,"(4, 3)",25,18980,453,27.56,973
32,"(4, 3)",25,19672,470,27.68,1026
33,"(4, 3)",23,20359,482,27.48,1079
34,"(4, 3)",22,21047,498,27.52,1132
